variable,count,mean,median,min,max,std,skewness,kurtosis
NumberofBuildings,1395,1.1068100358422939,1.0,0.0,27.0,1.2034995911492201,13.989920086686089,249.91017464636613
NumberofFloors,1395,4.278853046594982,2.0,1.0,99.0,6.869480367538443,5.979696982404453,50.870481329355414
PropertyGFATotal,1395,108866.42365591398,46059.0,11285.0,1952220.0,189146.11804180144,4.923884855102508,30.785552123734515
PropertyGFAParking,1395,13896.070250896057,0.0,0.0,512608.0,44653.821031619445,5.0812913306186225,33.05627040999792
PropertyGFABuilding(s),1395,94970.35340501792,44719.0,10925.0,1765970.0,164001.3517734269,5.22935221734975,34.62664349526682
