OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore_is_missing,flag_anomalie,type_anomalie,critere_detection,action,justification,IsZeroFloorReported,IsAggregatedCampus,_ratio_usage,_energy_gap_pct
350,2016,NonResidential,Large Office,Second And Spring Building,1100 Second Avenue,Seattle,WA,98101.0,0942000045,7,DOWNTOWN,47.60642,-122.33581,1958,1.0,6.0,172842,25920,146922,"Data Center, Office, Parking",Office,99890.0,Data Center,39336.0,Parking,25000.0,,,297.3999939,299.2000122,909.5999756,911.5,41399504.0,41650404.0,0.0,11663150.0,39794668.0,16048.30957,1604831.0,False,,Non-Compliant,High outlier,362.66,2.1,True,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,0.5779266613438864,0.0
381,2016,NonResidential,Supermarket / Grocery Store,70500872 -- Holman Road,9999 Holman Road NW,Seattle,WA,98117.0,0767000060,6,NORTHWEST,47.7019,-122.36374,1956,1.0,1.0,60880,0,60880,Supermarket/Grocery Store,Supermarket/Grocery Store,61666.0,,,,,,54.0,231.8000031,239.0,518.7999878,523.5999756,14293972.0,14736775.0,0.0,2381365.25,8125218.0,61687.52734,6168753.0,False,,Compliant,,384.27,6.31,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.012910643889619,0.0
382,2016,NonResidential,Small- and Mid-Sized Office,Collins Building,524 2nd Ave,Seattle,WA,98104.0,0939000025,7,DOWNTOWN,47.60227,-122.33202,1900,1.0,5.0,50176,0,50176,"Office, Other, Restaurant",Office,50328.0,Other,8329.0,Restaurant,4253.0,,77.0,46.59999847,46.59999847,143.1999969,143.1999969,2933288.75,2933288.75,0.0,831375.875,2836654.0,966.3400269,96634.0,False,,Compliant,,24.91,0.5,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0030293367346939,0.0
388,2016,NonResidential,Large Office,Rainier Tower,1301 5th Ave,Seattle,WA,98101.0,0002400003,7,DOWNTOWN,47.60896,-122.33481,1976,1.0,42.0,635824,0,635824,"Financial Office, Office, Other, Parking, Restaurant",Office,718473.0,Parking,40000.0,Restaurant,19671.0,,69.0,62.90000153,62.90000153,197.6000061,197.6000061,48479988.0,48479988.0,0.0,14208670.0,48479982.0,0.0,0.0,False,,Compliant,,337.97,0.53,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.1299872291703363,0.0
401,2016,NonResidential,Hotel,WAC aggregate,1325 6th Ave,Seattle,WA,98101.0,1975700025,7,DOWNTOWN,47.60968,-122.33379,1930,1.0,21.0,305548,0,305548,Hotel,Hotel,310000.0,,,,,,58.0,108.8000031,111.4000015,220.6000061,222.1999969,33729336.0,34527356.0,16284570.0,4272584.5,14578058.0,28667.04883,2866705.0,False,,Compliant,,1510.85,4.94,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0145705421079503,0.0
403,2016,NonResidential,Large Office,Logan Building,500 Union St,Seattle,WA,98101.0,1975700095,7,DOWNTOWN,47.61003,-122.33452,1958,1.0,10.0,135918,0,135918,Office,Office,144570.0,,,,,,91.0,44.40000153,46.79999924,111.0999985,114.0,6423556.5,6771618.5,2121203.0,1260947.625,4302353.0,0.0,0.0,False,,Compliant,,193.72,1.43,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.0636560278991745,0.0
405,2016,NonResidential,Large Office,The Decatur,1511 6th Avenue,Seattle,WA,98101.0,1975700125,7,DOWNTOWN,47.61166,-122.33528,1921,1.0,4.0,127268,0,127268,"Non-Refrigerated Warehouse, Office, Retail Store",Office,62512.0,Retail Store,53971.0,Non-Refrigerated Warehouse,5000.0,,71.0,63.5,63.5,171.5,171.5,7711757.5,7711757.5,714523.6875,1770165.625,6039805.0,9574.279297,957428.0,True,,Error - Correct Default Data,,148.11,1.16,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,0.49118395826130684,0.0
435,2016,NonResidential,Other,Washington State Convention Center,705 Pike St,Seattle,WA,98101.0,1978200105,7,DOWNTOWN,47.61195,-122.33167,1990,1.0,6.0,1400000,0,1400000,"Convention Center, Parking",Convention Center,1072000.0,Parking,686750.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Non-Compliant,,0.0,0.0,True,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,0.7657142857142857,
447,2016,NonResidential,Warehouse,NWCP-SEA Sylv Bldg,750 S Michigan St,Seattle,WA,98108.0,2024049061,2,GREATER DUWAMISH,47.5471,-122.32406,1963,1.0,1.0,106000,0,106000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,106001.0,,,,,,93.0,7.199999809,7.199999809,22.60000038,22.60000038,763364.5,763364.5,0.0,223729.2969,763364.0,0.0,0.0,False,,Compliant,,5.32,0.05,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.000009433962264,0.0
487,2016,NonResidential,Laboratory,UW Medicine Research Phase I,850 Republican St.,Seattle,WA,98109.0,1988201480,7,LAKE UNION,47.62405,-122.34036,1963,1.0,4.0,102235,0,102235,Laboratory,Laboratory,103135.0,,,,,,,236.5,241.5,559.5,559.7000122,24395228.0,24903228.0,0.0,4500367.5,15355254.0,90399.71875,9039972.0,False,,Compliant,,587.16,5.74,True,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0088032474201594,0.0
507,2016,NonResidential,Warehouse,Skyline-East Marginal,4401 E Marginal Way S,Seattle,WA,98134.0,1824049063,2,GREATER DUWAMISH,47.56419,-122.34262,1999,1.0,1.0,243044,0,243044,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,325424.0,,,,,,100.0,4.300000191,4.300000191,9.0,9.0,1396082.25,1396082.25,0.0,205444.5938,700977.0,6951.050293,695105.0,False,,Compliant,,41.8,0.17,False,True,Ratio Usage/Total critique (> 1.30),LargestPropertyUseTypeGFA/PropertyGFATotal > 1.30,❌ Suppression,Erreur physique manifeste,False,False,1.3389509718404897,0.0
513,2016,NonResidential,Other,Q13 FOX,1813 Westlake Ave N,Seattle,WA,98109.0,1925049022,7,MAGNOLIA / QUEEN ANNE,47.63549,-122.34103,1952,1.0,3.0,66462,12998,53464,"Other, Parking",Other,72000.0,Parking,15000.0,,,,,95.5,95.5,299.8999939,299.8999939,6876439.5,6876439.5,0.0,2015368.75,6876438.0,0.0,0.0,False,,Compliant,,47.94,0.72,True,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.0833258102374288,0.0
